Date,Transaction_Description,Merchant_Name,Amount,Transaction_Type
2026-01-03,SALARY CREDIT,Employer Pvt Ltd,68500.00,Income
2026-01-05,RENT PAYMENT,Landlord,22000.00,Expense
2026-01-07,SWIGGY ORDER,Swiggy,438.50,Expense
2026-02-02,ATM WITHDRAWAL,SBI ATM,5000.00,Expense
2026-02-04,UPI TRANSFER RAHUL,Rahul,1500.00,Expense
2026-02-09,ZOMATO ORDER,Zomato,612.00,Expense
2026-02-14,NETFLIX SUBSCRIPTION,Netflix,499.00,Expense
2026-02-18,UBER TRIP,Uber,285.75,Expense
2026-02-21,INDIAN OIL PETROL PUMP,Indian Oil,2800.00,Expense
2026-03-01,SALARY CREDIT,Employer Pvt Ltd,68500.00,Income
2026-03-04,AMAZON PURCHASE,Amazon,3499.00,Expense
2026-03-08,SPOTIFY PREMIUM,Spotify,119.00,Expense
2026-03-11,UPI TRANSFER MEGHANA,Meghana,2200.00,Income
2026-03-15,APOLLO PHARMACY,Apollo Pharmacy,860.40,Expense
2026-03-19,MOBILE RECHARGE AIRTEL,Airtel,599.00,Expense
2026-03-22,OLA CABS,Ola,342.20,Expense
2026-03-27,FLIPKART ORDER,Flipkart,7250.00,Expense
2026-04-01,SALARY CREDIT,Employer Pvt Ltd,68500.00,Income
